geography,metric,week_num,race_var,mean,se,moe_95,moe_95_lb,moe_95_ub,geo_type,sigdiff
NJ,uninsured,wk1_2,other,0.078445261,0.069362272,0.135950053,-0.057504792,0.214395314,state,0
NJ,uninsured,wk1_2,white,0.041945193,0.009908032,0.019419744,0.022525449,0.061364936,state,1
NM,uninsured,wk1_2,asian,0.021365129,0.022074096,0.043265228,-0.0219001,0.064630357,state,1
NM,uninsured,wk1_2,black,0,0,0,0,0,state,1
NM,uninsured,wk1_2,hispanic,0.060756743,0.017475122,0.034251239,0.026505504,0.095007981,state,0
NM,uninsured,wk1_2,other,0.121874821,0.050101735,0.0981994,0.023675421,0.220074221,state,0
NM,uninsured,wk1_2,white,0.085748546,0.019225238,0.037681466,0.048067081,0.123430012,state,0
NV,uninsured,wk1_2,asian,0.094137158,0.050200782,0.098393534,-0.004256376,0.192530691,state,0
NV,uninsured,wk1_2,black,0.144999144,0.070287163,0.137762839,0.007236305,0.282761984,state,0
NV,uninsured,wk1_2,hispanic,0.257638361,0.066468228,0.130277727,0.127360634,0.387916089,state,0
NV,uninsured,wk1_2,other,0.047789342,0.02653198,0.05200268,-0.004213338,0.099792022,state,1
NV,uninsured,wk1_2,white,0.072146957,0.016233855,0.031818355,0.040328602,0.103965312,state,1
NY,uninsured,wk1_2,asian,0.070378171,0.040534511,0.079447641,-0.00906947,0.149825812,state,0
NY,uninsured,wk1_2,black,0.225966823,0.058376019,0.114416998,0.111549825,0.34038382,state,1
NY,uninsured,wk1_2,hispanic,0.148371096,0.045771132,0.089711419,0.058659677,0.238082514,state,0
NY,uninsured,wk1_2,other,0.045814521,0.028173322,0.055219711,-0.009405189,0.101034232,state,0
NY,uninsured,wk1_2,white,0.037858239,0.008915889,0.017475142,0.020383096,0.055333381,state,1
OH,uninsured,wk1_2,asian,0.076476678,0.067020448,0.131360079,-0.054883401,0.207836757,state,0
OH,uninsured,wk1_2,black,0.174113015,0.054108286,0.106052241,0.068060773,0.280165256,state,0
OH,uninsured,wk1_2,hispanic,0.052542321,0.051001705,0.099963341,-0.04742102,0.152505663,state,0
OH,uninsured,wk1_2,other,0.089131786,0.079250896,0.155331757,-0.066199971,0.244463542,state,0
OH,uninsured,wk1_2,white,0.099051423,0.024350321,0.04772663,0.051324793,0.146778053,state,0
OK,uninsured,wk1_2,asian,0.063749072,0.05058011,0.099137016,-0.035387944,0.162886088,state,1
OK,uninsured,wk1_2,black,0.114837548,0.045517683,0.089214658,0.02562289,0.204052206,state,0
OK,uninsured,wk1_2,hispanic,0.609288701,0.113273924,0.222016891,0.38727181,0.831305592,state,1
OK,uninsured,wk1_2,other,0.245994315,0.057043878,0.111806002,0.134188313,0.357800316,state,0
OK,uninsured,wk1_2,white,0.169928754,0.026642701,0.052219694,0.117709061,0.222148448,state,0
OR,uninsured,wk1_2,asian,0.032249497,0.032104721,0.062925254,-0.030675757,0.095174751,state,0
OR,uninsured,wk1_2,black,0.01476661,0.018871447,0.036988037,-0.022221427,0.051754646,state,1
OR,uninsured,wk1_2,hispanic,0.277297904,0.099886776,0.195778082,0.081519822,0.473075986,state,0
OR,uninsured,wk1_2,other,0.057999767,0.037762287,0.074014082,-0.016014316,0.132013849,state,0
OR,uninsured,wk1_2,white,0.077321125,0.016640217,0.032614825,0.0447063,0.10993595,state,0
PA,uninsured,wk1_2,asian,0.013268289,0.010234958,0.020060518,-0.00679223,0.033328807,state,1
PA,uninsured,wk1_2,black,0.095842259,0.024971589,0.048944314,0.046897945,0.144786572,state,0
PA,uninsured,wk1_2,hispanic,0.085229377,0.043994283,0.086228795,-9.99E-04,0.171458173,state,0
PA,uninsured,wk1_2,other,0.172414437,0.145051597,0.28430113,-0.111886693,0.456715568,state,0
PA,uninsured,wk1_2,white,0.095985229,0.019823356,0.038853777,0.057131451,0.134839006,state,0
RI,uninsured,wk1_2,asian,0.023086451,0.027402295,0.053708498,-0.030622047,0.076794949,state,0
RI,uninsured,wk1_2,black,0.023199152,0.022518935,0.044137112,-0.02093796,0.067336264,state,0
RI,uninsured,wk1_2,hispanic,0.042106151,0.02093571,0.041033991,0.001072159,0.083140142,state,0
RI,uninsured,wk1_2,other,0.128545298,0.10689306,0.209510397,-0.080965099,0.338055695,state,0
RI,uninsured,wk1_2,white,0.03022942,0.008297497,0.016263095,0.013966325,0.046492515,state,0
SC,uninsured,wk1_2,asian,0.023473113,0.025264015,0.049517469,-0.026044356,0.072990582,state,1
SC,uninsured,wk1_2,black,0.122440894,0.035788892,0.070146229,0.052294665,0.192587123,state,0
SC,uninsured,wk1_2,hispanic,0.274962674,0.142719127,0.279729488,-0.004766814,0.554692163,state,0
SC,uninsured,wk1_2,other,0.097789291,0.080099322,0.156994672,-0.059205381,0.254783963,state,0
SC,uninsured,wk1_2,white,0.122335854,0.019647732,0.038509555,0.0838263,0.160845409,state,0
SD,uninsured,wk1_2,asian,0,0,0,0,0,state,1
SD,uninsured,wk1_2,black,0.132350267,0.130701154,0.256174263,-0.123823996,0.38852453,state,0
SD,uninsured,wk1_2,hispanic,0.086773731,0.06641422,0.130171872,-0.043398141,0.216945603,state,0
SD,uninsured,wk1_2,other,0.262814218,0.115208258,0.225808186,0.037006032,0.488622404,state,0
SD,uninsured,wk1_2,white,0.120487774,0.027710685,0.054312943,0.066174831,0.174800717,state,0
TN,uninsured,wk1_2,asian,0.09487066,0.098790109,0.193628614,-0.098757954,0.288499275,state,0
TN,uninsured,wk1_2,black,0.171829779,0.04659177,0.09131987,0.08050991,0.263149649,state,0
TN,uninsured,wk1_2,hispanic,0.654869816,0.131363585,0.257472626,0.39739719,0.912342442,state,1
TN,uninsured,wk1_2,other,0.090459934,0.041099251,0.080554533,0.009905401,0.171014467,state,0
TN,uninsured,wk1_2,white,0.121887419,0.018056239,0.035390228,0.086497191,0.157277647,state,0
TX,uninsured,wk1_2,asian,0.196925657,0.058436188,0.114534929,0.082390728,0.311460586,state,0
TX,uninsured,wk1_2,black,0.242260981,0.038986007,0.076412574,0.165848407,0.318673555,state,0
TX,uninsured,wk1_2,hispanic,0.273944,0.027549283,0.053996595,0.219947405,0.327940595,state,0
TX,uninsured,wk1_2,other,0.281629477,0.085940508,0.168443396,0.113186081,0.450072873,state,0
TX,uninsured,wk1_2,white,0.195589646,0.020677495,0.04052789,0.155061756,0.236117536,state,0
UT,uninsured,wk1_2,asian,0.09933812,0.065669061,0.128711359,-0.029373238,0.228049479,state,0
UT,uninsured,wk1_2,black,0.304384175,0.116026648,0.227412231,0.076971944,0.531796405,state,0
UT,uninsured,wk1_2,hispanic,0.224987976,0.059701127,0.117014209,0.107973766,0.342002185,state,1
UT,uninsured,wk1_2,other,0.139895318,0.059147597,0.11592929,0.023966028,0.255824607,state,0
UT,uninsured,wk1_2,white,0.080895347,0.016179527,0.031711873,0.049183474,0.11260722,state,0
VA,uninsured,wk1_2,asian,0.046236416,0.019335181,0.037896954,0.008339462,0.08413337,state,0
VA,uninsured,wk1_2,black,0.074006542,0.022255426,0.043620634,0.030385907,0.117627176,state,0
VA,uninsured,wk1_2,hispanic,0.075625306,0.025373898,0.049732841,0.025892465,0.125358147,state,0
VA,uninsured,wk1_2,other,0.102629573,0.057761175,0.113211903,-0.01058233,0.215841477,state,0
VA,uninsured,wk1_2,white,0.093562568,0.021397383,0.04193887,0.051623698,0.135501439,state,0
VT,uninsured,wk1_2,asian,0.150162919,0.136610168,0.267755929,-0.11759301,0.417918849,state,0
VT,uninsured,wk1_2,black,0.108618426,0.13272872,0.260148292,-0.151529866,0.368766718,state,0
VT,uninsured,wk1_2,hispanic,0.112650457,0.063895915,0.125235993,-0.012585537,0.23788645,state,0
VT,uninsured,wk1_2,other,0.106770177,0.102944877,0.201771958,-0.095001781,0.308542135,state,0
VT,uninsured,wk1_2,white,0.07550712,0.017922587,0.035128271,0.040378849,0.11063539,state,0
WA,uninsured,wk1_2,asian,0.062534005,0.029330087,0.05748697,0.005047035,0.120020975,state,0
WA,uninsured,wk1_2,black,0.18038479,0.130467845,0.255716976,-0.075332186,0.436101766,state,0
WA,uninsured,wk1_2,hispanic,0.132112057,0.058758362,0.11516639,0.016945666,0.247278447,state,0
WA,uninsured,wk1_2,other,0.076063305,0.045769024,0.089707287,-0.013643981,0.165770592,state,0
WA,uninsured,wk1_2,white,0.052954785,0.008857382,0.017360468,0.035594317,0.070315253,state,0
WI,uninsured,wk1_2,asian,0.089551202,0.068925779,0.135094526,-0.045543325,0.224645728,state,0
WI,uninsured,wk1_2,black,0.176486784,0.124893904,0.244792052,-0.068305268,0.421278836,state,0
WI,uninsured,wk1_2,hispanic,0.238787634,0.119435152,0.234092898,0.004694735,0.472880532,state,0
WI,uninsured,wk1_2,other,0.014779217,0.017603217,0.034502306,-0.019723089,0.049281523,state,1
WI,uninsured,wk1_2,white,0.096191435,0.021860096,0.042845788,0.053345647,0.139037224,state,0
WV,uninsured,wk1_2,asian,0.174237269,0.13631851,0.267184279,-0.09294701,0.441421548,state,0
WV,uninsured,wk1_2,black,0.185895493,0.107916063,0.211515484,-0.025619991,0.397410977,state,0
WV,uninsured,wk1_2,hispanic,0,0,0,0,0,state,1
WV,uninsured,wk1_2,other,0.082139531,0.063619048,0.124693334,-0.042553803,0.206832865,state,0
WV,uninsured,wk1_2,white,0.122298122,0.024726278,0.048463504,0.073834618,0.170761626,state,0
WY,uninsured,wk1_2,asian,0.477943525,0.327609589,0.642114794,-0.164171269,1.120058319,state,0
WY,uninsured,wk1_2,black,0,0,0,0,0,state,1
WY,uninsured,wk1_2,hispanic,0.2862424,0.064250193,0.125930378,0.160312021,0.412172778,state,1
WY,uninsured,wk1_2,other,0.200539437,0.166714857,0.32676112,-0.126221682,0.527300557,state,0
WY,uninsured,wk1_2,white,0.137871672,0.021383613,0.041911881,0.095959791,0.179783553,state,0
AK,uninsured,wk2_3,asian,0.057522049,0.045794269,0.089756767,-0.032234718,0.147278815,state,0
AK,uninsured,wk2_3,black,0.205438917,0.111399027,0.218342093,-0.012903176,0.42378101,state,0
AK,uninsured,wk2_3,hispanic,0.1668934,0.059501191,0.116622334,0.050271065,0.283515734,state,0
AK,uninsured,wk2_3,other,0.168782442,0.058051734,0.113781399,0.055001043,0.28256384,state,0
AK,uninsured,wk2_3,white,0.113106991,0.022069979,0.043257159,0.069849832,0.15636415,state,0
