geography,metric,week_num,race_var,mean,se,moe_95,moe_95_lb,moe_95_ub,geo_type
WV,uninsured,wk2_3,hispanic,0.2184573070059115,0.10711703316278924,0.2099493849990669,0.00850792200684461,0.4284066920049784,state
WV,uninsured,wk2_3,other,0.0204680731494595,0.018325320763061925,0.035917628695601375,-0.015449555546141875,0.05638570184506088,state
WV,uninsured,wk2_3,white,0.08962856542701134,0.021972160114039612,0.043065433823517636,0.0465631316034937,0.13269399925052897,state
WY,uninsured,wk2_3,asian,0,0,0,0,0,state
WY,uninsured,wk2_3,black,0.009483571776850105,0.014825337436084668,0.029057661374725947,-0.019574089597875842,0.03854123315157605,state
WY,uninsured,wk2_3,hispanic,0.2904193381170851,0.07181296946003961,0.14075342014167763,0.14966591797540746,0.4311727582587627,state
WY,uninsured,wk2_3,other,0.25675715183882986,0.18975579718560223,0.3719213624837804,-0.11516421064495053,0.6286785143226102,state
WY,uninsured,wk2_3,white,0.084913126348489,0.01857808721228867,0.036413050936085795,0.0485000754124032,0.12132617728457479,state
AK,uninsured,wk3_4,asian,0.05414144546944365,0.04261590193181705,0.08352716778636142,-0.029385722316917773,0.13766861325580507,state
AK,uninsured,wk3_4,black,0.131173580346865,0.06952986132768915,0.13627852820227074,-0.005104947855405745,0.2674521085491357,state
AK,uninsured,wk3_4,hispanic,0.20994861761158468,0.06670027047310921,0.13073253012729405,0.07921608748429063,0.3406811477388787,state
AK,uninsured,wk3_4,other,0.15276710208165478,0.03786941060408613,0.0742240447840088,0.07854305729764598,0.22699114686566357,state
AK,uninsured,wk3_4,white,0.08533254342765191,0.014489618425325545,0.02839965211363807,0.05693289131401384,0.11373219554128998,state
AL,uninsured,wk3_4,asian,0.18705119639130408,0.11910463597671105,0.23344508651435364,-0.046393890123049564,0.4204962829056577,state
AL,uninsured,wk3_4,black,0.15372725792385444,0.035738529526451776,0.07004751787184547,0.08367974005200897,0.22377477579569993,state
AL,uninsured,wk3_4,hispanic,0.16789962861660027,0.05602229025600781,0.1098036889017753,0.05809593971482496,0.27770331751837557,state
AL,uninsured,wk3_4,other,0.16476641104185857,0.0894305536999485,0.17528388525189906,-0.010517474210040484,0.3400502962937576,state
AL,uninsured,wk3_4,white,0.11117998889639262,0.014075642879335378,0.02758826004349734,0.08359172885289529,0.13876824893988995,state
AR,uninsured,wk3_4,asian,0.0010595984947078892,0.001808035885586657,0.0035437503357498477,-0.0024841518410419587,0.004603348830457737,state
AR,uninsured,wk3_4,black,0.12338819226454953,0.03665562921489762,0.07184503326119934,0.051543159003350186,0.19523322552574887,state
AR,uninsured,wk3_4,hispanic,0.2608623265134784,0.06149662189734231,0.12053337891879093,0.14032894759468748,0.3813957054322693,state
AR,uninsured,wk3_4,other,0.03461639379896384,0.018991513550213113,0.0372233665584177,-0.00260697275945386,0.07183976035738154,state
AR,uninsured,wk3_4,white,0.07257143600428903,0.012927189907058855,0.025337292217835355,0.04723414378645367,0.09790872822212439,state
AZ,uninsured,wk3_4,asian,0.0886696703985773,0.04703477034240845,0.09218814987112056,-0.0035184794725432594,0.18085782026969788,state
AZ,uninsured,wk3_4,black,0.1580662385518583,0.06655286544496232,0.13044361627212614,0.027622622279732167,0.28850985482398445,state
AZ,uninsured,wk3_4,hispanic,0.3056427961338995,0.038580241958978426,0.07561727423959771,0.23002552189430178,0.3812600703734972,state
AZ,uninsured,wk3_4,other,0.15524377058621183,0.04566987651316449,0.0895129579658024,0.06573081262040943,0.24475672855201425,state
AZ,uninsured,wk3_4,white,0.0799710409186278,0.009885861660929064,0.019376288855420965,0.060594752063206844,0.09934732977404877,state
CA,uninsured,wk3_4,asian,0.05365000897234117,0.01135031884553666,0.022246624937251852,0.03140338403508932,0.07589663390959303,state
CA,uninsured,wk3_4,black,0.19474313538183158,0.02913609252611136,0.05710674135117827,0.1376363940306533,0.25184987673300985,state
CA,uninsured,wk3_4,hispanic,0.18371998116986304,0.019395289336232427,0.03801476709901556,0.1457052140708475,0.2217347482688786,state
CA,uninsured,wk3_4,other,0.07789644112262628,0.03020406586438361,0.059199969094191875,0.018696472028434406,0.13709641021681815,state
CA,uninsured,wk3_4,white,0.042833863376971745,0.008304327993390783,0.016276482867045933,0.026557380509925812,0.059110346244017675,state
CO,uninsured,wk3_4,asian,0.06259113548649606,0.04123825859582351,0.08082698684781407,-0.018235851361318015,0.14341812233431012,state
CO,uninsured,wk3_4,black,0.1775101489701398,0.08301489218045822,0.16270918867369813,0.014800960296441679,0.34021933764383794,state
CO,uninsured,wk3_4,hispanic,0.19344530831060774,0.035946832790144614,0.07045579226868344,0.1229895160419243,0.26390110057929117,state
CO,uninsured,wk3_4,other,0.14181254141390875,0.06472938279284282,0.12686959027397193,0.014942951139936822,0.2686821316878807,state
CO,uninsured,wk3_4,white,0.0784312915996394,0.012030226404766056,0.02357924375334147,0.05485204784629792,0.10201053535298087,state
CT,uninsured,wk3_4,asian,0.09323432583949008,0.05628388737772346,0.11031641926033799,-0.017082093420847905,0.20355074509982807,state
CT,uninsured,wk3_4,black,0.028095651027145552,0.01579761385406793,0.03096332315397314,-0.0028676721268275883,0.05905897418111869,state
CT,uninsured,wk3_4,hispanic,0.21417240796629572,0.05016692553953728,0.09832717405749306,0.11584523390880266,0.3124995820237888,state
